1,-78.6963282,35.7273951,0.009,48.864,2022-01-13 13:58:24.903061,3,14
2,-78.6963284,35.7273951,0.029,48.861,2022-01-13 13:58:25.903916,3,14
3,-78.6963286,35.7273951,0.038,48.863,2022-01-13 13:58:26.904647,3,14
4,-78.6963287,35.7273953,0.051,48.648,2022-01-13 13:58:27.905327,3,14
5,-78.6963285,35.7273954,0.036,48.646,2022-01-13 13:58:28.905959,3,14
6,-78.6963284,35.7273952,0.05,48.652,2022-01-13 13:58:29.906176,3,14
7,-78.6963281,35.7273951,0.052,48.646,2022-01-13 13:58:30.906612,3,14
8,-78.696328,35.7273952,0.055,48.638,2022-01-13 13:58:31.906869,3,14
9,-78.6963278,35.7273949,0.075,47.421,2022-01-13 13:58:32.907366,3,14
10,-78.6963291,35.7273952,0.359,45.686,2022-01-13 13:58:33.907909,3,14
11,-78.6963312,35.7273954,1.882,45.878,2022-01-13 13:58:34.908784,3,14
12,-78.69633,35.7273959,3.916,45.852,2022-01-13 13:58:35.909916,3,14
13,-78.6963293,35.7273959,6.108,45.813,2022-01-13 13:58:36.911064,3,14
14,-78.6963279,35.7273959,8.409,45.747,2022-01-13 13:58:37.912210,3,14
15,-78.6963279,35.7273957,10.733,45.672,2022-01-13 13:58:38.912997,3,14
16,-78.6963282,35.7273947,13.182,45.726,2022-01-13 13:58:39.913646,3,14
17,-78.6963279,35.7273947,15.662,45.711,2022-01-13 13:58:40.914434,3,14
18,-78.6963275,35.7273948,18.159,45.668,2022-01-13 13:58:41.915005,3,14
19,-78.6963268,35.7273949,20.648,45.634,2022-01-13 13:58:42.915301,3,14
20,-78.6963274,35.7273952,23.102,45.629,2022-01-13 13:58:43.915941,3,14
21,-78.6963279,35.7273954,25.522,45.568,2022-01-13 13:58:44.916578,3,14
22,-78.6963285,35.7273954,27.786,46.009,2022-01-13 13:58:45.917017,3,14
23,-78.6963274,35.7273951,29.176,46.042,2022-01-13 13:58:46.918233,3,14
24,-78.6963277,35.7273954,29.687,45.924,2022-01-13 13:58:47.919403,3,14
25,-78.6963282,35.7273952,29.9,45.905,2022-01-13 13:58:48.920574,3,14
26,-78.6963279,35.7273947,30.007,45.818,2022-01-13 13:58:49.921741,3,14
27,-78.6963279,35.7273947,29.997,45.766,2022-01-13 13:58:50.922926,3,14
28,-78.6963277,35.7273947,29.993,45.651,2022-01-13 13:58:51.923357,3,14
29,-78.6963278,35.7273952,29.977,45.691,2022-01-13 13:58:52.924293,3,14
30,-78.6963299,35.7273938,29.932,45.674,2022-01-13 13:58:53.925333,3,14
31,-78.6963399,35.7273872,29.926,45.634,2022-01-13 13:58:54.926255,3,14
32,-78.6963575,35.7273758,29.971,45.776,2022-01-13 13:58:55.926476,3,14
33,-78.6963822,35.7273587,30.01,45.703,2022-01-13 13:58:56.926888,3,14
34,-78.6964126,35.7273378,30.06,45.689,2022-01-13 13:58:57.927195,3,14
35,-78.6964452,35.7273146,30.053,45.756,2022-01-13 13:58:58.928009,3,14
36,-78.6964794,35.7272911,30.047,45.75,2022-01-13 13:58:59.929116,3,14
37,-78.6965091,35.7272701,30.024,45.661,2022-01-13 13:59:00.929335,3,14
38,-78.6965303,35.7272557,29.996,45.6,2022-01-13 13:59:01.930125,3,14
39,-78.6965405,35.7272488,29.964,45.66,2022-01-13 13:59:02.931250,3,14
40,-78.6965422,35.7272473,29.961,45.68,2022-01-13 13:59:03.932431,3,14
41,-78.6965426,35.7272478,29.942,45.6,2022-01-13 13:59:04.933711,3,14
42,-78.696543,35.7272481,29.93,45.519,2022-01-13 13:59:05.934321,3,14
43,-78.6965429,35.7272485,29.946,45.62,2022-01-13 13:59:06.935432,3,14
44,-78.6965427,35.7272491,29.913,45.433,2022-01-13 13:59:07.935716,3,14
45,-78.6965429,35.7272484,29.938,45.565,2022-01-13 13:59:08.937600,3,14
46,-78.6965406,35.7272463,29.97,45.522,2022-01-13 13:59:09.938005,3,14
47,-78.6965331,35.7272405,29.987,45.533,2022-01-13 13:59:10.938759,3,14
48,-78.6965207,35.7272306,30.016,45.523,2022-01-13 13:59:11.939258,3,14
