distance,mbps
44.49217336897146,38.33924657269299
43.88060633106806,50.128285479125
60.129577417523755,28.073779433155
60.563588997676945,34.13337677009701
62.96239686411408,39.786268649823
66.47425898071253,26.224494102618998
69.16204086949341,29.280924271867
69.96863152318878,38.264011743232
71.47948939903232,46.996790346011
73.7108056129425,42.229353929877
91.08392835329289,35.53505228083
87.68912623601659,10.423743545049001
88.21870454619543,11.791769796472
89.53391268321957,9.771188399506999
89.24449462610532,8.546059980692
91.54647187980972,4.469019172817
96.95029750205092,3.72951893397
99.3477645826971,14.790281974001
104.64379427190902,2.4671431859969997
108.12009001179646,2.0732893389619997
103.2695729645118,7.757874846823
87.73360014159618,19.815726335674
70.75380451700049,5.3282080831080005
63.88096985930404,18.530949446221
55.97683521956496,22.734118110239
